id,d,m,y,pcp,max,min
1,1/1/1991,1,1991,0,32,21
2,1/2/1991,1,1991,30.8,31,24
3,1/3/1991,1,1991,6.3,28.2,23
4,1/4/1991,1,1991,0,30,22
5,1/5/1991,1,1991,0,31.5,19.5
6,1/6/1991,1,1991,0.9,29.5,22.2
7,1/7/1991,1,1991,1.9,28,22.8
8,1/8/1991,1,1991,0,31.8,21.5
9,1/9/1991,1,1991,2.2,26.5,21.5
10,1/10/1991,1,1991,0,29,20.5
11,1/11/1991,1,1991,0,31,20.5
12,1/12/1991,1,1991,0,31,21.5
13,1/13/1991,1,1991,0.1,29,21.8
14,1/14/1991,1,1991,0,28,22
15,1/15/1991,1,1991,0,30.5,20
16,1/16/1991,1,1991,2,28,21.5
17,1/17/1991,1,1991,0,29,21.5
18,1/18/1991,1,1991,0,29,20.5
19,1/19/1991,1,1991,0,31,18.5
20,1/20/1991,1,1991,0,32.5,19
21,1/21/1991,1,1991,0,33.4,19.5
22,1/22/1991,1,1991,0,31.5,19.5
23,1/23/1991,1,1991,0,31,18.5
24,1/24/1991,1,1991,2.8,28.8,21.5
25,1/25/1991,1,1991,0,30,21.5
26,1/26/1991,1,1991,0,31,22
27,1/27/1991,1,1991,0,31,19.2
28,1/28/1991,1,1991,0,31,21.5
29,1/29/1991,1,1991,0,31.2,20.5
30,1/30/1991,1,1991,18.7,29,23
31,1/31/1991,1,1991,10.6,26,21.8
32,2/1/1991,2,1991,2.2,26.5,21.8
33,2/2/1991,2,1991,2,28.5,22
34,2/3/1991,2,1991,5.1,31,22
35,2/4/1991,2,1991,4.7,30,23.2
36,2/5/1991,2,1991,3.3,27.5,22.3
37,2/6/1991,2,1991,2.1,29,22
38,2/7/1991,2,1991,0.6,31.5,23.5
39,2/8/1991,2,1991,0,32,22
40,2/9/1991,2,1991,0,32.5,20.5
41,2/10/1991,2,1991,0,32.5,22
42,2/11/1991,2,1991,0,33,20.5
43,2/12/1991,2,1991,0,29.5,21.2
44,2/13/1991,2,1991,0,33,23
45,2/14/1991,2,1991,0,32.5,21.2
46,2/15/1991,2,1991,0,34.2,23
47,2/16/1991,2,1991,0,32.2,23
48,2/17/1991,2,1991,0,31.5,20.6
