"scenario","lwr","upr","flow","impact","month"
"c50a",18.1807195,36.45322175,28.064400125,"cc",1
"c50b",18.801251,33.818701375,26.97673075,"cc",2
"c70a",18.306928625,35.2743285,27.4480425,"cc",3
"c70b",18.726429375,33.751821375,26.88319825,"cc",4
"l50a",19.227078875,39.554809875,30.18308925,"cc_lulc",5
"l50b",19.856411625,36.6519285,28.917198125,"cc_lulc",6
"l70a",20.245010375,39.49883475,30.671371,"cc_lulc",7
"l70b",18.944861875,41.730864,31.079385625,"cc_lulc",8
"c50a",7.511075625,17.6215075,12.936379125,"cc",9
"c50b",7.80546125,16.160189125,12.33373925,"cc",10
"c70a",7.570380625,16.89973975,12.590961625,"cc",11
"c70b",7.7201775,16.095306625,12.255837125,"cc",12
"l50a",7.543754375,18.956632625,13.62838425,"cc_lulc",1
"l50b",7.825334125,17.260467875,12.913603875,"cc_lulc",2
"l70a",8.061290125,18.8982,13.878948625,"cc_lulc",3
"l70b",7.3797015,19.856120375,14.02456425,"cc_lulc",4
"c50a",6.27885975,16.111905125,11.546191375,"cc",5
"c50b",6.596959625,14.634577375,10.90940875,"cc",6
"c70a",6.35305025,15.39741375,11.197696875,"cc",7
"c70b",6.466785625,14.41568125,10.7365335,"cc",8
"l50a",6.325085375,16.96444475,11.996870125,"cc_lulc",9
"l50b",6.593325375,15.26229725,11.254118125,"cc_lulc",10
"l70a",6.175865125,15.43974675,11.129753,"cc_lulc",11
"l70b",5.43314475,16.009734625,11.030405625,"cc_lulc",12
"c50a",4.86248825,15.13272875,10.19608525,"cc",1
"c50b",5.09992,13.460818875,9.483558125,"cc",2
"c70a",4.9043505,14.3596075,9.81927325,"cc",3
"c70b",4.953755625,13.215971125,9.29278075,"cc",4
"l50a",4.98395075,15.62780325,10.684127,"cc_lulc",5
"l50b",5.154829375,13.843695375,9.888639375,"cc_lulc",6
"l70a",4.499093,13.570708625,9.373302625,"cc_lulc",7
"l70b",3.565517625,14.06515825,9.117593625,"cc_lulc",8
"c50a",9.629090625,35.780748625,22.90316775,"cc",9
"c50b",10.207554625,31.105366,20.87272925,"cc",10
"c70a",9.77949,33.519804875,21.865672,"cc",11
"c70b",9.862789,30.375027625,20.244022375,"cc",12
"l50a",9.585022625,38.594802125,23.932354125,"cc_lulc",1
"l50b",10.068752875,32.51208525,21.319267375,"cc_lulc",2
"l70a",8.59607825,31.667169125,19.946237375,"cc_lulc",3
"l70b",6.973740625,31.664133375,18.709255125,"cc_lulc",4
"c50a",16.699011,49.883433625,35.019296125,"cc",5
"c50b",17.9804935,44.85598775,32.80938525,"cc",6
"c70a",17.065739125,47.44967125,33.821432,"cc",7
"c70b",17.247531,44.272040375,32.1540495,"cc",8
"l50a",13.76015825,43.121094875,30.032449125,"cc_lulc",9
"l50b",14.7055275,38.4170775,27.85408725,"cc_lulc",10
"l70a",14.25974375,42.17052275,29.60189575,"cc_lulc",11
"l70b",10.823529125,43.229475875,28.3224995,"cc_lulc",12
"c50a",11.478045375,39.652706875,26.629638875,"cc",1
"c50b",12.405608125,35.17364725,24.833677875,"cc",2
"c70a",11.739714375,37.35285,25.600456125,"cc",3
"c70b",12.1129085,35.08499,24.6425125,"cc",4
"l50a",8.070572,31.656275,20.734583125,"cc_lulc",5
"l50b",8.677357625,27.821092875,19.025367125,"cc_lulc",6
"l70a",9.16143075,31.7647235,21.355543625,"cc_lulc",7
"l70b",6.678121125,33.38813575,20.789616875,"cc_lulc",8
"c50a",18.910948875,53.828682,37.787835875,"cc",9
"c50b",20.1884785,48.47236875,35.646194875,"cc",10
"c70a",19.217599875,50.9964915,36.421393625,"cc",11
"c70b",20.5011975,49.025682375,36.057478,"cc",12
