"scenario","lwr","upr","flow","impact","month"
"c50a",18.1807195,36.45322175,28.064400125,"cc",1
"c50b",18.801251,33.818701375,26.97673075,"cc",1
"c70a",18.306928625,35.2743285,27.4480425,"cc",1
"c70b",18.726429375,33.751821375,26.88319825,"cc",1
"l50a",19.14556325,39.401166875,30.05511,"cc_lulc",1
"l50b",19.833908125,36.50594125,28.817301875,"cc_lulc",1
"l70a",20.133719875,39.393885875,30.48780175,"cc_lulc",1
"l70b",18.940134875,41.505260625,30.953364875,"cc_lulc",1
"c50a",7.511075625,17.6215075,12.936379125,"cc",2
"c50b",7.80546125,16.160189125,12.33373925,"cc",2
"c70a",7.570380625,16.89973975,12.590961625,"cc",2
"c70b",7.7201775,16.095306625,12.255837125,"cc",2
"l50a",7.561093125,18.889010125,13.606283875,"cc_lulc",2
"l50b",7.76952375,17.169785375,12.91564225,"cc_lulc",2
"l70a",7.955820125,18.74350575,13.84636,"cc_lulc",2
"l70b",7.335424375,19.76073825,14.023107,"cc_lulc",2
"c50a",6.27885975,16.111905125,11.546191375,"cc",3
"c50b",6.596959625,14.634577375,10.90940875,"cc",3
"c70a",6.35305025,15.39741375,11.197696875,"cc",3
"c70b",6.466785625,14.41568125,10.7365335,"cc",3
"l50a",6.40946675,17.025875625,12.07311,"cc_lulc",3
"l50b",6.557892,15.44108825,11.410138875,"cc_lulc",3
"l70a",6.13000525,15.50486575,11.2167485,"cc_lulc",3
"l70b",5.468816,16.10315,11.14618475,"cc_lulc",3
"c50a",4.86248825,15.13272875,10.19608525,"cc",4
"c50b",5.09992,13.460818875,9.483558125,"cc",4
"c70a",4.9043505,14.3596075,9.81927325,"cc",4
"c70b",4.953755625,13.215971125,9.29278075,"cc",4
"l50a",5.15592775,15.851174625,10.900815625,"cc_lulc",4
"l50b",5.291834625,14.26801225,10.20474725,"cc_lulc",4
"l70a",4.5412765,13.90178025,9.647593375,"cc_lulc",4
"l70b",3.670244875,14.674665625,9.613846,"cc_lulc",4
"c50a",9.629090625,35.780748625,22.90316775,"cc",5
"c50b",10.207554625,31.105366,20.87272925,"cc",5
"c70a",9.77949,33.519804875,21.865672,"cc",5
"c70b",9.862789,30.375027625,20.244022375,"cc",5
