lwr_2050_45,upr_2050_45,m95_2050_45,PfR_2050_45,lwr_2050_85,upr_2050_85,m95_2050_85,PfR_2050_85,lwr_2070_45,upr_2070_45,m95_2070_45,PfR_2070_45,lwr_2070_85,upr_2070_85,m95_2070_85,PfR_2070_85
14.539156,26.929846,21.446302,0.539890054,15.016044,26.067886,21.013697,0.576036124,14.650014,26.472559,21.187605,0.553403772,14.856817,26.028566,20.901371,0.570788917
4.669924,13.230216,9.217886,0.352974131,4.9166,11.837298,8.674936,0.415348165,4.734307,12.525147,8.90874,0.377984147,4.793475,11.778862,8.569032,0.406955697
1.767115,5.489789,3.690769,0.321891242,1.86858,5.067261,3.476938,0.368755428,1.784096,5.297334,3.583507,0.336791299,1.809087,4.844868,3.376954,0.373402743
0.563668,1.361162,0.948933,0.414107946,0.57738,1.228437,0.895672,0.470011893,0.56651,1.30463,0.922667,0.434230395,0.567737,1.141591,0.870987,0.497320844
1.106043,10.814317,5.41878,0.102275807,1.205875,8.735935,4.668935,0.138036169,1.136096,9.826669,5.049583,0.115613541,1.161776,8.442218,4.389766,0.13761502
1.210149,15.2333,7.797533,0.079441027,1.410933,12.949572,6.773126,0.108955956,1.253582,14.184336,7.295331,0.088377912,1.328238,12.385135,6.334189,0.107244531
10.671458,48.105591,30.9709,0.221834048,12.040417,42.823135,28.823359,0.281166173,11.017365,45.34,29.640713,0.242994376,11.806394,43.006027,28.679298,0.274528824
11.564553,33.058525,24.067598,0.349820598,12.497678,30.348953,22.875896,0.411799313,11.798393,31.780151,23.357834,0.371250376,12.29125,30.351017,22.793713,0.404969955
21.295521,57.210449,40.367985,0.372231321,22.437595,51.357746,37.986591,0.436888235,21.526199,54.544094,39.014427,0.394656826,22.069279,51.050438,37.69714,0.432303421
13.975083,32.684479,24.816498,0.427575517,14.747334,30.318607,23.708258,0.486411991,14.092871,31.475607,24.170492,0.447739451,14.549583,30.199106,23.561964,0.481788534
41.939842,104.387878,74.719337,0.401769274,44.48074,93.672699,70.420456,0.474852764,42.545811,98.986519,72.237907,0.429814195,44.15575,93.306091,70.003296,0.47323545
50.347237,100.099258,77.506477,0.502973129,52.714844,91.81498,74.090698,0.574142084,50.840923,95.986031,75.492935,0.52967002,52.426876,91.644707,73.88179,0.572066601
9.109087,19.828783,14.817857,0.459387094,9.279491,18.996929,14.40815,0.488473216,9.081,19.397997,14.582608,0.468141118,9.187517,18.92308,14.326509,0.485519112
1.838533,8.050664,5.376299,0.228370356,1.990125,7.25935,5.045465,0.274146446,1.894243,7.65365,5.191653,0.247495378,1.874313,7.212939,4.969458,0.25985427
1.40158,5.678383,3.799713,0.24682731,1.507844,5.112459,3.53565,0.294935177,1.428813,5.387124,3.659675,0.26522742,1.396125,5.008461,3.438657,0.278753294
4.264535,14.911919,9.579185,0.285981637,4.511191,12.815833,8.674539,0.352001388,4.322205,13.949439,9.135815,0.309847944,4.278833,12.203505,8.302366,0.350623284
