lwr_2050_45,upr_2050_45,m95_2050_45,PfR_2050_45,lwr_2050_85,upr_2050_85,m95_2050_85,PfR_2050_85,lwr_2070_45,upr_2070_45,m95_2070_45,PfR_2070_45,lwr_2070_85,upr_2070_85,m95_2070_85,PfR_2070_85
15.476001,27.737572,22.126844,0.557943608,15.680138,26.670927,21.685432,0.587911249,15.904,27.581921,22.316633,0.576609584,15.331334,28.010672,22.370089,0.547339028
4.069293,14.244887,9.58252,0.28566692,4.445972,12.70342,8.95252,0.349982288,4.623055,14.108711,9.788218,0.327673804,4.132089,15.01834,9.914769,0.2751362
1.737691,5.512511,3.767197,0.315226763,1.819308,5.125098,3.603406,0.354980139,1.794704,5.206912,3.633532,0.344677229,1.587704,5.300418,3.589503,0.299543168
0.618284,1.358381,1.005738,0.455162432,0.631716,1.2762,0.963936,0.494997649,0.623997,1.309889,0.980295,0.476373952,0.587651,1.340678,0.980641,0.438323744
1.71356,10.826405,5.254585,0.158275993,1.650171,8.768429,4.534481,0.188194601,1.531366,8.575838,4.340535,0.178567506,1.365448,8.91841,4.440652,0.153104421
1.315355,11.473639,5.676046,0.114641484,1.391598,9.302117,4.917604,0.149600139,1.415814,10.528113,5.38584,0.13447937,1.215006,11.400605,5.495753,0.106573818
5.671412,35.686558,20.777096,0.15892292,5.577854,30.618961,18.537775,0.182169931,5.994732,35.706738,21.540297,0.167887977,4.64581,39.704575,22.856102,0.117009438
6.271654,26.669687,17.88413,0.23516039,6.981523,24.044054,16.667206,0.290363805,7.46507,26.794802,18.509714,0.278601424,6.174142,28.552345,18.922592,0.216239402
22.516735,60.47139,42.958778,0.372353521,22.284294,54.097095,40.388412,0.411931436,22.426601,58.000465,42.381123,0.386662435,19.142666,62.062481,43.224575,0.308441843
14.927342,33.932003,25.828758,0.43991927,15.491841,31.550562,24.664402,0.491016325,15.398261,33.295273,25.485546,0.46247589,14.1005,35.006294,25.813368,0.402798994
45.723213,110.986618,80.309044,0.411970504,47.247688,99.0756,75.635818,0.476885207,46.611214,106.156754,78.88298,0.439079119,41.407658,113.293938,80.484573,0.365488734
55.500313,111.20697,85.812363,0.499072252,57.910645,101.722778,81.740837,0.569298697,58.942776,111.242439,87.283928,0.529858717,54.518593,117.743675,88.716476,0.463027785
9.795562,20.774481,15.630769,0.471518976,10.02462,19.780531,15.22315,0.50679226,10.22235,20.57659,15.784453,0.496795144,9.70875,20.973021,15.831614,0.462916144
1.583426,8.498055,5.321406,0.186328048,1.675445,7.546973,4.944192,0.222002252,1.770802,8.391417,5.445779,0.211025385,1.602385,8.854683,5.477392,0.180964694
0.952083,5.516329,3.313363,0.172593585,1.005193,4.914642,3.063811,0.204530259,1.025367,5.360561,3.322465,0.191279793,0.917104,5.529685,3.218769,0.165851039
3.059865,14.104097,9.094985,0.216948664,3.321104,12.513291,8.32159,0.265406119,2.934097,12.194275,7.873556,0.240612665,1.90877,12.695381,7.519339,0.150351533
3.776827,29.386683,15.992029,0.128521718,4.106487,24.777477,14.024582,0.165734671,3.3923,23.861427,12.888357,0.142166686,2.585495,25.652964,12.953066,0.100787379
5.37024,26.444263,17.539324,0.203077696,6.116106,23.772213,16.27426,0.257279623,5.286709,26.246937,17.088978,0.201421941,3.89639,28.115776,17.148605,0.138583762
14.074091,51.250114,34.813492,0.274615799,14.601023,45.595211,32.356354,0.320231504,15.430045,51.833477,36.216793,0.297684931,12.798717,56.578602,37.698502,0.226211263
21.483316,55.449078,39.921021,0.387442258,22.839039,49.797569,37.562336,0.458637629,23.874166,55.775646,41.237206,0.428039256,22.011026,60.321835,43.058304,0.364893177
16.132738,40.752773,29.942823,0.395868473,16.886875,37.070835,28.34671,0.455529933,16.79604,39.486843,29.703371,0.425357884,15.466001,42.003338,30.505945,0.368208855
14.401844,35.103794,25.636009,0.4102646,14.803952,31.787592,24.258194,0.465714798,14.680555,33.766445,25.232071,0.434767563,13.466429,35.982071,25.713316,0.374253861
144.416916,323.068848,237.104523,0.447015913,151.689514,286.014984,224.490524,0.53035513,148.607224,306.922791,233.184372,0.484184389,135.343063,329.096405,238.21875,0.411256583
99.607025,203.095871,157.906448,0.490443378,104.000488,189.586014,151.076309,0.548566246,104.356735,202.733093,158.807053,0.514749385,97.168663,211.060974,161.121094,0.460381951
9.508458,20.867355,15.872962,0.45566187,9.810735,19.422413,15.202676,0.505124415,10.085069,20.924166,16.144161,0.481981886,9.309356,21.917772,16.299801,0.424740069
1.709295,4.5553,3.169913,0.375232147,1.738971,4.300441,3.054914,0.404370389,1.777321,4.532527,3.194221,0.392125849,1.666532,4.626382,3.161067,0.360223605
1.12218,3.910355,2.458729,0.286976502,1.12955,3.561787,2.296329,0.317130137,1.110703,3.7836,2.389626,0.293557194,1.027919,3.781539,2.279793,0.271825572
0.825478,2.392092,1.574489,0.345086226,0.840107,2.119982,1.464366,0.396280251,0.82446,2.124563,1.452887,0.38806098,0.749286,2.1502,1.415046,0.3484727
1.868957,21.571201,9.847679,0.086641305,1.808042,17.592979,8.045874,0.102770656,1.679023,16.672167,7.280929,0.100708144,1.5473,18.29797,7.308327,0.084561293
27.623922,76.000122,55.573235,0.363472074,28.561964,69.212006,52.58493,0.412673547,27.508047,74.488495,54.865162,0.36929256,23.003395,78.018684,54.6292,0.294844694
1.176615,4.483571,2.726771,0.262428096,1.187088,4.257806,2.639197,0.278802745,1.225047,4.470249,2.764204,0.274044466,1.170457,4.554119,2.765843,0.257010631
1.60356,13.496399,6.089659,0.118813915,1.672964,10.447879,5.140307,0.160124749,1.851126,13.642136,6.506793,0.135691801,1.646348,17.87233,7.667219,0.092117144
48.897289,130.374359,93.914307,0.375052958,50.418835,117.329979,88.390083,0.429718265,50.398388,125.527359,93.14296,0.401493255,45.042416,133.137131,95.379364,0.338315958
